name,objra,objdec,C,A,S,nsa_sersic_mass,LogMass,nsa_sersic_ba,nsa_sersic_n,PETRO_TH90,log_age_mean_LW,log_ZH_mean_LW,log_SFR_ssp,log_SFR_Ha,vel_sigma_Re,modelMag_r
manga-10214-6104,123.092211293,36.2836131709,2.92,0.205,0.14,2.62052E9,9.41838747861846,0.352988,1.0926,14.67988,8.6668758392334,-0.447494775056839,-0.225727560651898,-0.718033258873771,0.583947232507927,16.0504
manga-10214-9101,120.935390177,35.3428778906,4.179,0.066,0.1,5.78098E10,10.76200146688339,0.808806,5.01412,23.984297,9.70875644683838,-0.233814418315887,-1.0737298256261,-4.22006988541534,0.0926946671065558,14.09395
manga-10214-9102,121.942383602,34.7771614059,3.108,0.282,0.2,1.78642E11,11.251983572267264,0.623048,4.42962,11.937283,9.1459493637085,-0.285006761550903,0.261901962584465,-0.139630103658061,0.503592596118387,16.32108
manga-10215-12701,121.800741247,38.2563612267,3.857,0.116,0.35,5.80398E10,10.763725907228034,0.348205,4.01069,13.758488,9.22745990753174,-0.18390479683876,0.131560419835976,-0.0446287345013756,0.461648772547125,15.63502
manga-10215-12702,121.466201503,37.5140925477,2.509,0.181,0.15,6.89563E9,9.838573950428419,0.711794,0.85517,9.226169,8.75183296203613,-0.558827579021454,0.278601951182209,0.168889036716435,0.362809479377135,16.09304
manga-10215-12703,122.130636583,37.5865756841,3.0,0.245,0.6,2.91327E9,9.464380736627728,0.311918,0.978477,22.039967,8.43907833099365,-0.570348560810089,0.219467454865199,-0.146253568513761,0.657466464596791,15.24419
manga-10215-12704,123.448616143,37.0503815874,3.642,0.054,-0.28,3.51165E10,10.545511224021265,0.810193,3.88265,23.29285,9.42615985870361,-0.0687994360923767,-0.387179970680078,-0.242451495064531,0.376967654048922,14.1937
manga-10215-12705,122.984477119,36.4242678945,2.626,0.147,-0.04,4.30603E10,10.634077051216467,0.882285,1.32391,19.395079,8.60832977294922,-0.69573187828064,0.9753758840003,0.63326103137785,0.455022258059216,15.82814
manga-10215-1901,122.118199278,38.1518625278,2.64,0.034,0.01,2.05758E9,9.313356729854231,0.872201,0.978433,6.793319,8.97406768798828,-0.29483962059021,-0.464605111480007,-0.674729167439591,0.297688208896018,16.05499
manga-10215-1902,123.857378368,37.3405186037,2.898,0.077,0.19,4.56414E9,9.65935895745848,0.352234,4.45934,4.6561217,8.7592887878418,-0.654074966907501,0.255812606159926,-0.82312274274591,0.513942381186309,16.3652
manga-10215-3701,122.040031781,37.9213571348,2.297,0.12,0.09,1.33529E9,9.125575596578699,0.730187,0.898662,11.097967,8.75450801849365,-0.771285653114319,-0.636407834099354,-0.363155148835082,0.646760055573126,16.15216
manga-10215-3702,121.370110164,37.557853221,3.754,0.105,0.14,4.61654E10,10.664316602856463,0.902336,3.40512,15.193885,9.16290950775146,-0.166625469923019,0.599145730084994,0.567042875350905,0.333885222338016,13.86426
manga-10215-3703,122.303250785,38.0177069537,3.518,0.126,0.17,1.50524E10,10.17760575067125,0.374939,3.07828,9.872351,9.09036636352539,-0.225301533937454,0.117716370811351,-0.273344730181542,0.397409215963068,15.12583
manga-10215-3704,122.11350534,36.8374284802,3.478,0.078,0.02,2.6929E10,10.430220226321072,0.762155,4.94941,8.65481,9.57368278503418,-0.161294475197792,0.0801881813875546,-0.179232505924445,0.253643077470269,15.65493
manga-10215-6101,123.253441576,36.5330040267,3.041,0.35,0.35,5.86333E10,10.768144337839217,0.310023,1.92213,7.2757673,9.27145290374756,-0.0343619361519814,-0.0373267693777492,0.283648171095115,0.410111145277552,15.9257
manga-10215-6102,122.734117936,36.828123263,3.045,0.638,0.29,3.17022E9,9.501089401482968,0.852279,2.39481,14.823549,8.73900508880615,-0.774799585342407,0.331452417664733,0.648414640130737,0.542556996899381,14.97969
manga-10215-6103,122.323241339,38.3369384918,3.199,0.198,0.34,4.88771E9,9.689105430226313,0.5994,2.49848,7.767619,8.86559009552002,-0.315150231122971,0.0715700938418061,0.0639747055470758,0.253334660779447,16.20403
manga-10215-6104,123.647988384,38.5503483448,3.097,0.204,0.17,3.98068E10,10.599957266802885,0.77607,2.57757,8.938419,8.48452663421631,-0.683949768543243,1.22007295130345,1.24954145539491,0.463792930383807,15.33602
manga-10215-9101,121.561209049,37.6405216725,2.778,0.101,0.3,3.6214E9,9.558876497255136,0.273573,0.611762,8.12853,8.78974533081055,-0.376123040914536,-0.0344554404158259,-0.541395691945937,0.730394747426146,16.90381
manga-10215-9102,122.390684521,36.9852665635,2.971,0.129,0.36,7.98165E9,9.90209267979963,0.276015,1.19571,8.938591,8.50884819030762,-0.711425960063934,0.315999353684282,-0.490090758380963,0.386174605957891,16.41782
manga-10216-12701,118.476258864,16.9533603239,2.986,0.428,0.27,1.06897E10,10.028965517166421,0.381937,1.23129,11.637828,8.30391120910645,-0.650698781013489,0.261454536855286,0.236300579207404,0.718850674142333,15.96143
manga-10216-12702,118.230122563,17.0168029767,3.466,0.295,0.44,1.44839E10,10.16088551769164,0.258337,1.57669,20.683643,8.93849182128906,-0.231747820973396,0.247226450785773,0.188306157604016,0.536048551575099,15.10003
manga-10216-12703,118.62259747,17.7010718242,2.932,0.277,0.82,4.30168E9,9.63363810028594,0.847039,1.13028,14.821093,8.50317001342773,-0.297436982393265,0.34544523263412,-0.339901508264637,0.531594750467708,16.46045
